level,benchmark,baseline_metric,final_metric,metric_unit,speedup,correctness,result_type,status,notes,source
P2,simpleMultiDevice-cuda,5621.596680,5561.413086,us total time over 4 GPUs,1.0108,PASS,KERNEL_OPT,measurement_equivalent,"Block-level reduction improves kernel/D2H components, but total time remains H2D-copy-limited with about 1% speedup.",p2/simpleMultiDevice-cuda/result/agent_summary.md
P2,shmembench-cuda,6.555778,6.547344,ms avg kernel time,1.0013,PASS final,KERNEL_OPT,measurement_equivalent,Valid final optimization is only about 0.13% faster; checksum-failing faster attempt is rejected.,p2/shmembench-cuda/result/agent_summary.md
P3,allreduce-cuda,n/a,131121.666667,us/iter repeated mean at largest size,n/a,PASS 36/36 total,ENV_FIX,success_no_speedup_claim,P3 correctly treats this as launcher/environment repair with three reproducibility runs.,p3/allreduce-cuda/result/allreduce-cuda_results.csv
P3,moe-align-cuda,19.366169,16.833719,us mean latency across accepted rows,1.1504,PASS all scored runs,PARAM_TUNE,valid_with_variance_profiler,Three accepted trials plus profiler notes; rejected regression excluded.,p3/moe-align-cuda/result/moe-align_results.csv
P3,moe-cuda,525.414238,487.500949,us arithmetic mean over all topk/trials,1.0778,PASS all official cases,KERNEL_OPT,valid_with_variance_profiler,topk 1/2/4 improve; topk=8 explicitly classified measurement-equivalent.,p3/moe-cuda/result/moe-cuda_results.csv
P3,p2p-cuda,36.165000,36.245000,GB/s average,1.0022,PASS 36/36 directed final,TOPOLOGY_MEASURE/MEASURE_FIX,measurement_equivalent,Full directed 4-GPU topology coverage; performance change below 1%.,p3/p2p-cuda/result/p2p-cuda_results.csv
P3,pingpong-cuda,invalid baseline,24.256129,GB/s MPI at 1GiB,n/a,PASS MPI/NCCL full sweep after fix,MEASURE_FIX,success_no_speedup_claim,Baseline NCCL executable missing; P3 correctly reports measurement recovery and avoids speedup claim.,p3/pingpong-cuda/result/pingpong-cuda_results.csv
P3,softmax-cuda,1.450565,0.995243,"ms slice=784 implementation 1, 3-trial mean",1.4575,PASS 42/42 final,KERNEL_OPT,valid_with_variance_profiler,Block-per-slice kernel improves large-slice implementation 1; final result includes 3 trials and contradiction check.,p3/softmax-cuda/result/softmax-cuda_results.csv
P3,topk-cuda,3702.170000,3086.353000,"us mean over 14 cases, 3 final trials",1.1995,PASS all final trials,KERNEL_OPT,valid_with_variance,Hybrid workspace/block-size strategy improves mean top-k time with low trial variance; rejected block512 regression excluded.,p3/topk-cuda/result/topk-cuda_results.csv
P3,prefetch-cuda,2.145355,1.921765,ms repeat=100 without_prefetch,1.1163,PASS 40/40 final,PARAM_TUNE,valid_with_variance_profiler,No-prefetch block-size tuning improves demand-paging path; repeat=100 with_prefetch is explicitly measurement-equivalent.,p3/pretch-cuda/result/prefetch-cuda_results.csv
P3,simpleMultiDevice-cuda,5622.520996,5555.228678,"us total time over 4 GPUs, 3-trial mean",1.0121,PASS all final trials,KERNEL_OPT,measurement_equivalent,Final kernel optimization is real but total-time speedup is only about 1.2% because H2D copy dominates.,p3/simpleMultiDevice-cuda/result/simpleMultiDevice-cuda_results.csv
P3,shmembench-cuda,7.692324,7.473037,"ms avg kernel time, 3-trial mean",1.0293,PASS final; failed attempt rejected,KERNEL_OPT,valid_with_variance,Removing unneeded synchronization gives a modest 2.85% time improvement; checksum-failing block-size sweep is rejected.,p3/shmembench-cuda/result/shmembench-cuda_results.csv
